MorIPlist(1.5),MorUlist(5.3),MorIPlist(0.5),MorUlist(1.9),MorPlist(21.7),MorZVlist(23.1),MorIPlist(13.4),MorIPlist(10.7),MorUlist(3.2),MorIPlist(2.8),MorIPlist(16.5),MorVlist(18.6),MorZVlist(3.6),MorElist(6.6),MorVlist(9.3),MorElist(7.7),MorPlist(3.2),MorElist(14.9),MorVlist(22.2),MorElist(4.0)
286.172,-13.394,4660.813,84.218,-2.498,30.753,-49.107,-2.672,-102.588,-274.089,-57.48,12.517,-990.622,93.766,-0.449,-33.542,-68.241,29.997,-16.104,-97.576
275.158,-30.602,5472.994,0.734,-12.74,29.918,78.138,-73.607,-6.686,-20.077,-35.496,31.59,-786.424,51.224,9.851,6.889,-20.85,14.442,-16.676,-127.416
255.033,28.924,6120.838,-46.954,-13.656,176.479,49.94,-37.078,11.95,-46.465,-41.053,28.725,-1098.629,38.633,17.059,-29.163,-25.914,12.546,-21.397,-158.501
69.516,69.759,5829.071,-108.239,-15.825,72.95,38.919,-24.902,8.698,3.372,-52.163,30.571,-1455.049,21.655,11.186,-10.343,-16.676,6.469,-9.845,-166.429
76.631,-10.796,6766.051,-156.483,-11.816,-5.028,12.926,-61.376,2.133,22.032,-68.275,12.811,-756.402,40.222,2.657,32.868,-18,7.898,4.565,-126.879
171.031,32.411,6556.709,-26.27,-18.344,66.983,32.302,-42.963,17.561,-68.189,-59.702,42.333,-1359.667,31.024,-4.434,-0.7,-7.048,3.656,-10.799,-136.216
148.821,14.94,6808.347,-167.175,-7.262,29.607,10.787,-54.515,47.331,37.017,-61.981,22.052,-1108.858,50.16,10.424,6.896,4.095,-1.182,-8.694,-164.356
44.527,50.981,5560.831,-39.659,-17.328,137.036,63.194,-56.306,55.959,-48.99,-39.396,27.069,-1187.836,62.048,8.383,2.145,-5.239,15.034,-8.393,-153.858
-72.452,21.31,5430.103,-168.731,-9.043,0.205,16.924,-59.349,70.438,50.275,-65.431,18.903,-1136.781,22.689,1.959,12.437,-4.303,25.805,3.264,-138.024
216.455,-26,5065.336,-2.048,-19.242,334.361,-18.928,-73.474,-59.425,-60.918,-67.186,8.932,-899.918,120.13,11.43,-18.352,-44.835,27.988,-20.361,-92.548
207.214,-19.363,5735.749,-65.122,-14.319,69.378,90.978,-60.921,18.172,-2.424,-43.345,33.956,-911.893,85.055,10.291,5.634,-18.497,11.505,-11.528,-124.444
50.323,48.564,7825.828,-73.424,-8.068,-2.676,4.773,-56.33,32.061,-34.59,-64.275,12.887,-842.57,25.709,0.855,83.731,3.607,6.963,-4.504,-194.775
123.525,-24.59,3382.645,-49.831,-22.983,230.06,4.571,-48.862,0.363,-11.795,-65.4,12.905,-411.134,9.78,-8.786,36.16,-30.873,30.876,-5.279,-82.322
143.714,-9.295,4349.833,-13.163,-12.429,109.313,5.999,-53.783,-37.477,-28.619,-83.075,12.198,-541.549,17.555,-8.611,37.313,-16.413,18.479,2.315,-106.527
105.381,-8.719,5241.575,-51.129,-13.179,108.175,8.118,-57.649,-2.159,-11.291,-74.218,11.114,-621.168,11.344,-2.836,41.159,-20.219,15.336,-1.272,-109.607
43.175,-17.373,6505.895,-172.825,-11.557,8.847,25.654,-56.143,20.46,92.349,-67.764,13.074,-755.834,6.804,3.153,35.62,-16.192,16.898,1.395,-120.686
-43.869,2.167,6531.267,-211.886,-12.602,55.356,18.761,-56.934,47.014,160.932,-63.692,10.371,-553.611,44.131,5.194,38.128,-13.429,16.74,-2.478,-163.111
-112.155,-18.682,6959.564,-254.268,-10.832,-43.334,31.799,-46.451,70.666,286.31,-61.477,8.82,-778.565,53.602,10.142,5.601,-0.397,16.284,-1.715,-158.387
480.542,-111.509,3973.965,67.679,-0.052,-310.957,36.305,-48.609,-32.569,-25.725,-32.728,-4.52,-849.883,93.488,-7.674,63.743,-24.378,11.14,-1.952,-93.051
138.432,-23.222,6395.599,-95.979,-11.867,66.52,65.054,-70.124,35.483,71.851,-64.797,29.88,-1028.889,53.807,2.708,15.581,-9.05,12.979,-17.366,-121.137
94.665,-34.489,6927.737,-199.732,-7.521,-66.368,38.815,-82.034,51.111,82.946,-69.13,13.686,-646.392,56.032,12.04,45.527,-0.526,7.437,-6.752,-138.702
-56.643,-32.425,8424.515,-185.498,-2.056,-150.18,39.613,-87.134,49.619,3.772,-68.178,10.234,-743.282,74.191,17.892,33.559,-20.217,3.463,-4.073,-120.261
-77.078,-35.398,7741.281,-235.402,-5.673,-114.955,58.912,-73.625,110.389,139.765,-46.839,11.436,-685.185,65.297,12.955,25.073,2.802,13.526,-3.463,-155.886
126.624,15.225,4277.964,-33.925,-10.678,-51.135,36.445,-27.342,-12.617,-63.228,-43.728,24.888,-1055.694,66.891,2.265,-32.182,-21.967,24.248,-15.789,-120.614
143.503,22.997,5058.077,-21.766,-12.295,141.41,32.214,-38.993,1.389,-3.846,-50.498,37.866,-1118.708,58.149,7.549,-1.862,-0.468,12.797,-12.701,-110.211
128.935,-36.314,4360.598,-6.938,-14.187,-8.355,58.248,-38.123,-27.7,-76.116,-53.121,26.117,-1102.034,103.195,8.647,-20.74,-40.258,12.377,-17.836,-89.294
247.415,-48.91,5326.908,-122.276,-4.122,-102.365,47.096,-86.343,-5.813,-22.095,-68.547,13.305,-473.208,39.159,8.925,67.275,-15.187,2.888,-5.95,-106.433
230.666,-144.277,4500.454,-35.253,-17.811,-17.672,-28.577,-60.114,-2.357,-24.066,-86.716,6.295,-777.391,189.253,20.022,-50.093,-36.322,50.236,-22.836,-92.158
312.344,-106.54,4932.867,57.312,0.203,-230.214,19.996,-39.263,-31.749,-15.945,-32.099,-5.645,-613.782,53.453,-4.24,73.536,-19.389,22.286,-2.04,-85.792
119.974,3.147,6441.58,-103.214,-11.17,28.531,47.953,-60.721,46.61,57.329,-60.725,26.543,-940.289,33.257,6.037,3.046,-6.631,12.297,-17.166,-131.074
1.269,65.856,7577.858,-93.805,-14.263,69.46,12.966,-78.679,7.185,-4.548,-35.775,20.338,-1132.813,28.476,7.101,45.273,-2.461,8.262,-14.781,-140.735
-374.099,66.545,7517.395,-134.335,-8.897,-30.849,2.478,-80.09,-46.886,1.364,-61.019,15.253,-624.479,-54.054,6.764,122.354,-7.121,17.868,-9.2,-158.441
42.54,-29.364,7327.636,-240.736,-8.725,-63.26,47.174,-64.853,114.686,196.603,-59.798,12.785,-596.659,59.377,11.523,35.93,11.279,12.176,-6.275,-161.114
147.041,-50.476,6235.88,-73.293,-10.816,13.346,49.183,-48.489,6.38,-45.689,-74.565,23.206,-912.036,78.767,-2.577,2.42,-20.671,2.33,-15.807,-111.703
-7.291,79.117,4420.374,-115.173,8.073,-519.581,-57.781,114.386,-62.505,-14.998,28.721,13.764,-1720.749,26.226,27.968,-125.035,-21.716,5.587,-11.552,-128.609
91.997,58.033,4413.391,-28.157,-16.695,131.183,37.518,-29.844,-28.25,-15.634,-32.065,43.771,-1247.664,36.356,10.629,-11.442,-27.676,10.576,-8.11,-124.007
115.022,66.201,4888.036,-51.383,-8.927,155.847,19.991,-23.474,37.1,-16.826,-17.301,31.821,-1349.508,72.271,13.479,-39.855,-0.516,7.533,-11.171,-144.69
164.047,12.212,4716.3,13.554,-6.891,97.645,31.25,-45.165,-34.806,-25.85,-46.98,38.489,-1199.246,51.493,8.928,20.559,-8.786,-1.473,-14.825,-91.521
183.982,18.528,5112.9,-19.614,-15.206,152.473,25.333,-39.311,-6.975,-48.049,-42.42,37.51,-1066.193,71.102,14.663,9.747,-13.699,-0.97,-14.966,-122.648
274.932,-34.876,6002.792,-15.647,-10.281,65.036,84.658,-71.729,-7.474,-48.4,-49.759,31.033,-1033.049,64.941,7.154,9.747,-23.974,-1.52,-13.223,-120.045
-60.813,51.276,7771.827,-61.04,-7.298,-45.78,0.41,-66.115,32.122,-69.449,-51.363,14.279,-916.411,31.935,7.857,85.033,4.942,11.512,-1.81,-173.79
-135.289,-49.469,8885.731,-200.683,-2.126,-111.137,40.695,-113.469,-15.302,126.857,-54.296,14.595,-1378.255,106.078,25.202,-30.37,-14.709,-15.075,-11.001,-102.704
-118.76,-72.164,8768.764,-199.795,-9.839,-130.349,24.572,-121.857,-2.578,44.946,-50.659,15.528,-1209.284,106.023,32.198,-26.578,-13.14,-13.267,-8.323,-127.196
-195.45,16.204,8274.408,-215.879,-5.304,-28.945,64.39,-97.828,124.482,91.691,-64.445,12.347,-538.221,28.439,20.094,55.928,9.005,10.843,-10.088,-181.052
-127.831,11.792,8646.999,-244.39,-5.965,-29.351,56.735,-114.988,118.922,82.016,-44.598,12.491,-611.912,69.538,13.842,10.262,13.037,28.004,-9.463,-172.466
50.13,-32.076,7536.379,-216.293,0.012,-123.719,61.257,-90.121,30.932,287.265,-76.761,7.782,-905.376,54.783,8.143,29.424,-6.735,13.924,-7.118,-118.755
175.625,-36.157,6811.539,-149.234,-2.859,-144.412,58.511,-92.659,72.373,8.972,-50.008,14.917,-608.658,48.06,4.153,29.367,-0.733,-10.489,-1.859,-121.725
-263.681,-13.03,10122.203,-248.944,-1.516,-111.3,34.316,-108.283,98.992,187.221,-41.569,2.398,-1214.778,75.227,1.562,24.269,13.962,6.251,-2.862,-152.804
-106.983,26.338,7004.464,-218.5,-9.148,-14.518,40.53,-44.955,31.942,8.881,-61.411,17.399,-884.872,46.289,5.999,-1.827,-18.648,14.381,-2.748,-142.44
222.641,-18.189,4311.958,-34.842,0.941,-195.069,-8.95,1.49,-27.252,-94.012,-9.156,12.733,-771.966,30.204,-19.348,6.708,-47.2,18.725,-2.492,-103.309
-411.359,100.506,10380.974,-186.553,-7.909,-15.549,73.817,-93.368,133.896,88.242,-66.774,5.715,-701.989,-35.786,26.579,120.695,20.626,19.319,-14.561,-178.914
8.835,-10.899,7025.244,-88.359,-14.524,88.132,54.331,-73.007,23.149,25.653,-58.69,30.362,-1124.057,53.156,7.19,25.323,-14.653,20.834,-12.772,-119.179
-270.127,-22.15,8406.213,-263.16,-1.423,-171.921,28.214,-58.013,74.607,119.338,-56.604,10.1,-848.055,46.569,8.934,34.804,1.136,7.27,-0.224,-150.384
-259.286,-32.217,8318.128,-269.579,-1.009,-98.47,18.198,-59.962,63.855,245.064,-61.346,10.05,-885.822,46.369,9.572,38.69,-4.595,16.012,-4.406,-141.375
