Name,SHBd,SwHBa,SHsNH3p,SHCsats,meanI,hmax,gmax,hmin,gmin,DELS,fragC
1,0.478335048,1.021604938,0,0,2.273368607,0.569830247,3.701731824,0.369513032,0.597307956,3.503772291,7.05
2,0,10.94611111,0.45,0,2.095238095,0.45,3.720555556,0.25,1.071759259,1.441111111,7.01
3,0.608389025,10.96353815,0.483337113,0,2.138176638,0.608389025,3.954444444,0.298485082,0.620395986,5.806679054,40.06
4,0,38.43634485,0,1.00196637,2.359929078,0.663733197,13.21636965,-0.251532663,-0.373828386,56.28920985,647.08
5,0,7.774451767,0,1.484856797,1.626780627,0.324421296,2.484807991,0.00298245,-0.583258931,3.521622056,13.01
6,0,32.15770219,0,0,1.888888889,0.466553997,2.364074074,-0.082083333,1.19398715,6.423994709,124.01
7,0,12.31579695,0,2.692789937,1.928571429,0.57332483,6.113307823,-0.25727466,0.644272146,10.63274707,21.02
8,0,34.03784863,0,1.304513421,1.86,0.446687742,2.321905471,-0.043772754,1.158574791,6.594990757,129.01
9,0,52.70436305,0,6.951006392,1.588693957,0.554921333,3.004741192,-0.101215746,-1.45144287,29.45517686,777.06
10,0.415835048,5.050925926,0,0,1.987654321,0.568441358,4.062842936,0.188957476,0.722307956,2.28069273,7.03
11,0.489027778,11.17712963,0,0,2.145833333,0.489027778,5.349814815,0.215277778,0.639722222,2.755185185,8.01
12,0,-0.134259259,0,1.410833333,2.546296296,0.555902778,10.84236111,0.251666667,-0.310763889,9.818611111,8.02
13,0,8.976337449,0,0,1.72962963,0.405761317,2.337962963,0.139403292,-0.3281893,1.952674897,5.01
14,0,8.522633745,0,0,1.719135802,0.377983539,2.421296296,0.143261317,-0.375643004,2.39531893,6.01
15,0,8.752957819,0,0.587523148,1.687830688,0.362358539,2.476851852,0.115483539,-0.398467078,2.776615226,7.01
16,0,8.941985597,0,1.051944864,1.646090535,0.345414095,2.528101852,0.089858539,-0.429718443,3.122626186,9.01
17,0,9.026015028,0,1.484856797,1.61952862,0.336405804,2.552194822,0.077812054,-0.449514076,3.287949216,11.01
18,0,9.126493627,0,2.728060451,1.577342048,0.324421296,2.581743195,0.063037867,-0.480210447,3.500591793,17.01
19,1.4625,0.75,0,0,3.666666667,0.797222222,5.861111111,0.6375,0.75,2.5,2.02
20,0,11.7975548,0.359722222,0.735555556,1.962962963,0.433055556,3.780963719,0.159722222,0.990092593,2.393148148,9.01
21,0,0,0.334097222,0.915902778,1.9,0.334097222,3.675416667,0.21,1.09375,1.694444444,4.01
22,0,0,0.322050737,1.327949263,1.785714286,0.322050737,3.757491497,0.205102041,1.111111111,1.965555556,6.01
23,0,0,0.315058067,1.734941933,1.722222222,0.315058067,3.803478757,0.20308642,1.1171875,2.109688209,8.01
24,0.396946159,9.111484911,0,0,1.987654321,0.55628858,4.062842936,0.268818587,0.739252401,2.28069273,7.02
25,0.342762346,11.6198834,0,0,1.822530864,0.403510802,2.204046639,0.165154321,0.842777778,1.721111111,8.01
26,0,9.215277778,0,0,2.166666667,0.575,3.784722222,0.357638889,1.75,1.569444444,6.01
27,0,0,0.359722222,0.490277778,2.166666667,0.359722222,3.486111111,0.227777778,1,1,2.01
28,0.547222222,5.388888889,0,0,2.2,0.575,2.805555556,0.540277778,1.75,1.222222222,5.02
29,1.379166667,-0.083333333,0,0,3.416666667,0.741666667,6.166666667,0.4375,-0.083333333,3.5,3.03
30,0,7.514826153,0.379253472,0.807834467,2.533333333,0.611662061,12.31133362,0.209722222,-0.173321995,10.04195011,10.02
