morZV(3.90),morRC(3.25),morIP(16.50),morU(14.10),morP(21.60),morU(7.59),morE(0.76),morIP(0.45),morU(7.56),morV(4.86),morIP(6.00),morIP(1.50),morIP(1.48),morPI(19.93),morRC(3.60),morIP(13.32),morIP(13.30),morU(1.82),morIP(10.80),morPI(15.91)
-1087.239,-79.109,-57.48,0.476,-0.57,-6.701,2231.57,5023.636,-4.271,-11.51,116.81,286.172,299.16,172.306,-52.833,-43.735,-42.129,109.069,-5.776,179.664
-1363.311,-20.461,-35.496,-6.497,-9.744,1.209,2276.452,6013.199,-0.251,-27.299,139.591,275.158,288.353,-46.926,-47.504,80.65,80.783,37.197,-73.716,-43.665
-1713.15,-26.734,-41.053,3.443,-10.512,-22.068,2052.546,7058.745,-21.812,-18.323,139.237,255.033,282.206,-4.48,-60.644,46.426,45.067,-24.761,-39.301,-0.251
-2056.155,-26.889,-52.163,4.828,-12.508,-5.381,2010.718,6750.127,-6.945,-31.825,152.403,69.516,71.539,-29.461,-86.982,28.75,26.587,-87.342,-18.952,-27.389
-1112.048,-19.204,-68.275,-17.327,-12.945,38.811,1942.57,8187.933,39.886,3.79,25.889,76.631,104.161,-38.378,-56.091,19.988,21.547,-141.415,-60.764,-34.981
-1649.924,-15.926,-59.702,3.274,-17.345,6.832,1416.993,8615.378,8.724,-23.452,77.653,171.031,186.865,-52.868,-97.384,32.005,32.014,-1.402,-46.528,-50.488
-1390.05,-5.083,-61.981,-2.389,-6.741,15.439,1903.286,8750.934,16.72,-1.186,37.825,148.821,168.474,2.477,-70.778,14.11,15.505,-136.652,-53.751,5.81
-1607.844,-9.77,-39.396,-3.873,-18.166,0.241,1956.422,7202.603,0.067,-27.679,89.553,44.527,58.819,-50.067,-80.244,71.441,72.126,-39.239,-57.163,-49.375
-1369.35,-12.224,-65.431,-18.435,-8.97,12.82,2222.589,6317.061,14.772,4.227,16.643,-72.452,-63.828,-25.458,-76.479,21.48,22.866,-148.529,-56.177,-20.971
-1005.715,-55.039,-67.186,21.823,-16.686,-6.081,2318.775,5491.444,-5.484,-18.177,37.326,216.455,233.073,-12.814,-54.189,-19.929,-19.871,25.488,-79.364,-10.354
